Index Temp Soaktime Soakpct Difftime Diffpct Pitch
0 1650 0.58 1.1 0.25 0.9 0.013
1 1650 0.66 1.1 0.33 0.9 0.016
2 1650 0.66 1.1 0.33 0.9 0.015
3 1650 0.66 1.1 0.33 0.95 0.016
4 1600 0.66 1.15 0.33 1.0 0.015
5 1600 0.66 1.15 0.33 1.0 0.016
6 1650 1.0 1.1 0.5 0.8 0.014
7 1650 1.17 1.1 0.58 0.8 0.021
8 1650 1.17 1.1 0.58 0.8 0.018
9 1650 1.17 1.1 0.58 0.8 0.019
10 1650 1.17 1.1 0.58 0.9 0.021
11 1650 1.17 1.1 0.58 0.9 0.019
12 1650 1.17 1.15 0.58 0.9 0.021
13 1650 1.2 1.15 1.1 0.8 0.025
14 1650 2.0 1.15 1.0 0.8 0.025
15 1650 2.0 1.1 1.1 0.8 0.026
16 1650 2.2 1.1 1.1 0.8 0.024
17 1650 2.2 1.1 1.1 0.8 0.025
18 1650 2.2 1.15 1.1 0.8 0.024
19 1650 2.2 1.1 1.1 0.9 0.025
20 1650 2.2 1.1 1.1 0.9 0.027
21 1650 2.2 1.1 1.5 0.9 0.026
22 1650 3.0 1.15 1.5 0.8 0.029
23 1650 3.0 1.1 1.5 0.7 0.03
24 1650 3.0 1.1 1.5 0.75 0.028
25 1650 3.0 1.15 1.66 0.85 0.032
26 1650 3.33 1.1 1.5 0.8 0.033
27 1700 4.0 1.1 1.5 0.7 0.039
28 1650 4.0 1.1 1.5 0.7 0.04
29 1650 4.0 1.15 1.5 0.85 0.035
30 1700 12.5 1.0 1.5 0.7 0.056
31 1700 18.5 1.0 1.5 0.7 0.068
